season,week,team_id,team_name,score,opp_id,opp_name,opp_score,outcome,is_playoff
2024,14,6,MT KilledbyLamaro,131.12,3,Three unmuscular Michaels jr.,96.58,W,True
2024,15,1,2 Brothers In a Chiefs Van,76.6,9,Pirates of the Pancreas,125.54,L,True
2024,15,9,Pirates of the Pancreas,125.54,1,2 Brothers In a Chiefs Van,76.6,W,True
2024,15,8,Kittl' Bits,88.62,5,Mike Evans down your Vincents,149.06,L,True
2024,15,5,Mike Evans down your Vincents,149.06,8,Kittl' Bits,88.62,W,True
2024,15,4,Ants In My Eyes Jackson,125.98,7,FootBall Fondlers,117.6,W,True
2024,15,7,FootBall Fondlers,117.6,4,Ants In My Eyes Jackson,125.98,L,True
2024,15,10,We Are Climbing High,131.44,2,Violent Tyreek Roadshow,100.7,W,True
2024,15,2,Violent Tyreek Roadshow,100.7,10,We Are Climbing High,131.44,L,True
2024,15,3,Three unmuscular Michaels jr.,82.64,6,MT KilledbyLamaro,75.6,W,True
2024,15,6,MT KilledbyLamaro,75.6,3,Three unmuscular Michaels jr.,82.64,L,True
2024,16,5,Mike Evans down your Vincents,159.08,9,Pirates of the Pancreas,139.02,W,True
2024,16,9,Pirates of the Pancreas,139.02,5,Mike Evans down your Vincents,159.08,L,True
2024,16,1,2 Brothers In a Chiefs Van,87.82,8,Kittl' Bits,118.62,L,True
2024,16,8,Kittl' Bits,118.62,1,2 Brothers In a Chiefs Van,87.82,W,True
2024,16,4,Ants In My Eyes Jackson,106.16,10,We Are Climbing High,110.34,L,True
2024,16,10,We Are Climbing High,110.34,4,Ants In My Eyes Jackson,106.16,W,True
2024,16,2,Violent Tyreek Roadshow,88.24,7,FootBall Fondlers,97.18,L,True
2024,16,7,FootBall Fondlers,97.18,2,Violent Tyreek Roadshow,88.24,W,True
2024,16,3,Three unmuscular Michaels jr.,92.14,6,MT KilledbyLamaro,101.26,L,True
2024,16,6,MT KilledbyLamaro,101.26,3,Three unmuscular Michaels jr.,92.14,W,True
2024,17,5,Mike Evans down your Vincents,98.64,9,Pirates of the Pancreas,93.28,W,True
2024,17,9,Pirates of the Pancreas,93.28,5,Mike Evans down your Vincents,98.64,L,True
2024,17,1,2 Brothers In a Chiefs Van,98.26,8,Kittl' Bits,124.36,L,True
2024,17,8,Kittl' Bits,124.36,1,2 Brothers In a Chiefs Van,98.26,W,True
2024,17,4,Ants In My Eyes Jackson,150.78,10,We Are Climbing High,91.72,W,True
